age,gender,covid_distancing,covid_masks,vaccinated,self_rated_mental_health,ethnicity,hours,occupation,work_from_home,income,educational_attainment
18 to 29 years-old,Woman,Somewhat,Somewhat,"Yes, two doses",Positive,White,60,Sales and service,Hybrid,"$90,000 or more",Some College
18 to 29 years-old,Woman,Somewhat,Somewhat,"Yes, two doses",Positive,White,60,Sales and service,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,Indigenous,10,Business,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Woman,Somewhat,Not at all,"Yes, one dose",Positive,White,35,Health,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,Asian,10,Management,Hybrid,"Less than $30,000",High School Diploma or Lower
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, two doses",Positive,Indigenous,28,Health,Hybrid,"$90,000 or more",Some College
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,10,Health,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Man,Not at all,Somewhat,"Yes, two doses",Positive,Middle Eastern,40,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,20,"Trades, transport and equipment operators",Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,8,Management,Work from Home Only,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, two doses",Positive,White,30,Natural resources and agriculture,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,5,"art, culture, recreation and sport",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Negative,Asian,8,Sales and service,Do Not Work from Home,"Less than $30,000",High School Diploma or Lower
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,8,Management,Work from Home Only,"$90,000 or more",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,Indigenous,36,"education, law and social, community, and government services",Hybrid,"$90,000 or more",Some College
30 to 39 years-old,Woman,Not at all,Somewhat,"Yes, one dose",Positive,Other,25,Health,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, two doses",Positive,White,40,Management,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,"African, Caribbean, or Black ",20,Natural and applied sciences,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
40 to 49 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,Asian,20,Business,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
40 to 49 years-old,Woman,Very Closely,Somewhat,"Yes, one dose",Positive,Indigenous,4,Business,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,White,15,Sales and service,Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Man,Somewhat,Very Closely,No,Positive,White,15,Management,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Somewhat,No,Positive,White,5,Sales and service,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,"African, Caribbean, or Black ",5,Health,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Somewhat,No,Positive,White,21,Health,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,Indigenous,9,Health,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Somewhat,"Yes, two doses",Positive,White,60,Sales and service,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Woman,Somewhat,Somewhat,"Yes, two doses",Positive,White,60,Sales and service,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Woman,Somewhat,Somewhat,"Yes, two doses",Positive,White,60,Sales and service,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Negative,Asian,40,Sales and service,Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Negative,"African, Caribbean, or Black ",40,Sales and service,Hybrid,"$30,000 to $59,999",Some College
50 to 59 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,Asian,32,Business,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,35,"Trades, transport and equipment operators",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,Indigenous,9,Health,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,30,"education, law and social, community, and government services",Hybrid,"$90,000 or more",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Not at all,Somewhat,"Yes, one dose",Positive,White,35,"education, law and social, community, and government services",Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,White,5,"art, culture, recreation and sport",Hybrid,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,Indigenous,30,Business,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,Other,32,Business,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Not at all,Not at all,No,Positive,White,40,Health,Hybrid,"$60,000 to $89,999",Some College
18 to 29 years-old,Woman,Somewhat,Somewhat,"Yes, one dose",Positive,Indigenous,2,Business,Work from Home Only,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, two doses",Positive,White,25,Natural and applied sciences,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Very Closely,No,Positive,White,3,Sales and service,Hybrid,"Less than $30,000",High School Diploma or Lower
18 to 29 years-old,Woman,Somewhat,Not at all,"Yes, one dose",Positive,White,6,Management,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
60 years and older,Woman,Very Closely,Very Closely,"Yes, one dose",Negative,White,20,Sales and service,Hybrid,"$60,000 to $89,999",High School Diploma or Lower
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,5,Sales and service,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Somewhat,No,Positive,White,30,Business,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Woman,Somewhat,Somewhat,"Yes, one dose",Positive,Indigenous,40,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, two doses",Positive,Indigenous,40,Health,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,Indigenous,9,"education, law and social, community, and government services",Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Very Closely,No,Positive,White,80,Sales and service,Do Not Work from Home,"Less than $30,000",High School Diploma or Lower
18 to 29 years-old,Woman,Somewhat,Not at all,"Yes, one dose",Positive,White,35,Health,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,Asian,25,Management,Hybrid,"$60,000 to $89,999",Some College
40 to 49 years-old,Woman,Very Closely,Very Closely,No,Positive,White,8,Sales and service,Do Not Work from Home,"Less than $30,000",High School Diploma or Lower
18 to 29 years-old,Woman,Very Closely,Somewhat,"Yes, one dose",Positive,White,45,Manufacturing and utilities,Hybrid,"$60,000 to $89,999",Some College
30 to 39 years-old,Woman,Very Closely,Somewhat,"Yes, two doses",Positive,White,8,"education, law and social, community, and government services",Do Not Work from Home,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,40,Management,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Somewhat,"Yes, one dose",Positive,Other,30,Business,Hybrid,"$60,000 to $89,999",Some College
40 to 49 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,35,"art, culture, recreation and sport",Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,6,Business,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,White,8,Management,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,"African, Caribbean, or Black ",8,Management,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Man,Not at all,Somewhat,"Yes, one dose",Positive,White,6,Management,Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Woman,Very Closely,Somewhat,No,Positive,White,40,"Trades, transport and equipment operators",Do Not Work from Home,"$60,000 to $89,999",Some College
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,Other,6,Health,Hybrid,"$60,000 to $89,999",Some College
18 to 29 years-old,Non-binary,Very Closely,Very Closely,No,Negative,White,20,Sales and service,Do Not Work from Home,"$60,000 to $89,999",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,No,Positive,"African, Caribbean, or Black ",15,Natural and applied sciences,Work from Home Only,"$30,000 to $59,999",Some College
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,Asian,6,"education, law and social, community, and government services",Hybrid,"$90,000 or more",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Very Closely,No,Positive,"African, Caribbean, or Black ",15,"education, law and social, community, and government services",Do Not Work from Home,"$30,000 to $59,999",Some College
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, two doses",Positive,"African, Caribbean, or Black ",6,"education, law and social, community, and government services",Hybrid,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Man,Somewhat,Very Closely,No,Negative,White,35,"education, law and social, community, and government services",Work from Home Only,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,Asian,36,Natural and applied sciences,Hybrid,"$60,000 to $89,999",Some College
40 to 49 years-old,Non-binary,Very Closely,Somewhat,"Yes, one dose",Positive,Asian,36,Sales and service,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Very Closely,No,Positive,Asian,15,Natural and applied sciences,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,Indigenous,40,Sales and service,Hybrid,"Less than $30,000",Some College
40 to 49 years-old,Man,Somewhat,Very Closely,"Yes, two doses",Positive,White,6,Management,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Woman,Somewhat,Very Closely,No,Positive,White,12,Business,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Non-binary,Very Closely,Somewhat,"Yes, one dose",Positive,Other,28,Business,Hybrid,"$60,000 to $89,999",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,No,Positive,Asian,15,Business,Hybrid,"$90,000 or more",Some College
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Negative,White,70,Sales and service,Work from Home Only,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Somewhat,Very Closely,"Yes, two doses",Positive,White,6,Business,Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Man,Very Closely,Very Closely,No,Positive,White,20,Management,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,Indigenous,40,Sales and service,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,No,Positive,Asian,16,"education, law and social, community, and government services",Work from Home Only,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,"African, Caribbean, or Black ",4,Business,Hybrid,"$60,000 to $89,999",Some College
40 to 49 years-old,Woman,Very Closely,Very Closely,No,Negative,White,50,Business,Work from Home Only,"$90,000 or more",Bachelor's Degree or Higher
50 to 59 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,40,"education, law and social, community, and government services",Work from Home Only,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,White,40,Business,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Very Closely,No,Negative,White,25,Sales and service,Do Not Work from Home,"Less than $30,000",High School Diploma or Lower
30 to 39 years-old,Woman,Not at all,Somewhat,No,Positive,White,80,Natural and applied sciences,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Not at all,Somewhat,No,Positive,White,80,Natural and applied sciences,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Not at all,Somewhat,No,Positive,White,80,Natural and applied sciences,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,3,Business,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Not at all,Very Closely,"Yes, one dose",Negative,Indigenous,4,Business,Hybrid,"$60,000 to $89,999",Some College
18 to 29 years-old,Woman,Somewhat,Very Closely,No,Positive,Indigenous,6,Sales and service,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,6,Manufacturing and utilities,Hybrid,"$60,000 to $89,999",Some College
18 to 29 years-old,Woman,Not at all,Very Closely,"Yes, one dose",Negative,Indigenous,4,Business,Hybrid,"$60,000 to $89,999",Some College
30 to 39 years-old,Woman,Somewhat,Not at all,"Yes, two doses",Positive,White,3,Business,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,Indigenous,10,Sales and service,Hybrid,"$60,000 to $89,999",Some College
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,35,Sales and service,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,"African, Caribbean, or Black ",4,Business,Work from Home Only,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,"African, Caribbean, or Black ",4,Business,Work from Home Only,"$60,000 to $89,999",Bachelor's Degree or Higher
